Date,Late_Night,Morning,Afternoon,Night
1,75.0,133.33,200.0,208.33
2,58.33,108.33,191.67,175.0
3,58.33,133.33,183.33,150.0
4,50.0,133.33,200.0,158.33
5,83.33,125.0,133.33,125.0
6,75.0,150.0,166.67,258.33
7,50.0,183.33,216.67,266.67
8,83.33,108.33,216.67,208.33
9,83.33,208.33,241.67,183.33
10,50.0,183.33,191.67,166.67
11,50.0,108.33,166.67,183.33
12,58.33,141.67,233.33,225.0
13,66.67,158.33,158.33,183.33
14,108.33,191.67,241.67,216.67
15,58.33,258.33,216.67,141.67
16,75.0,158.33,225.0,225.0
17,66.67,150.0,125.0,150.0
18,58.33,133.33,141.67,141.67
19,41.67,133.33,166.67,150.0
20,83.33,191.67,200.0,200.0
21,75.0,133.33,208.33,258.33
22,100.0,191.67,216.67,175.0
23,50.0,133.33,291.67,216.67
24,83.33,208.33,200.0,150.0
25,83.33,116.67,116.67,183.33
26,58.33,150.0,241.67,175.0
27,83.33,150.0,191.67,158.33
28,50.0,133.33,258.33,266.67
29,116.67,216.67,208.33,183.33
30,83.33,216.67,225.0,166.67
